Frame_ID,Flame_ID,Timestamp_s,Position_MM
1,1,0.033333,20.79430112618641
2,1,0.066667,22.853142821848422
3,1,0.100000,24.088447839245646
4,1,0.133333,25.014926602293542
5,1,0.166667,25.220810771859732
6,1,0.200000,25.220810771859732
7,1,0.233333,25.220810771859732
8,1,0.266667,25.220810771859732
9,1,0.300000,25.220810771859732
10,1,0.333333,25.220810771859732
33,2,1.100000,12.353050173972122
34,2,1.133333,14.308949784851023
35,2,1.166667,19.970764447921596
36,2,1.200000,22.338432397932905
37,2,1.233333,23.77962158489632
38,2,1.266667,24.809042432727352
39,2,1.300000,25.32375285664284
40,2,1.333333,25.32375285664284
41,2,1.366667,25.32375285664284
42,2,1.400000,25.32375285664284
43,2,1.433333,25.32375285664284
44,2,1.466667,25.32375285664284
68,3,2.266667,10.911860987008708
69,3,2.300000,12.66187642832142
70,3,2.333333,18.529575260958183
71,3,2.366667,21.926664058800498
72,3,2.400000,23.47079533054702
73,3,2.433333,24.603158263161134
74,3,2.466667,25.32375285664284
75,3,2.500000,25.32375285664284
76,3,2.533333,25.32375285664284
77,3,2.566667,25.32375285664284
78,3,2.600000,25.32375285664284
79,3,2.633333,25.32375285664284
104,4,3.466667,14.411891869634132
105,4,3.500000,18.63251734574129
106,4,3.533333,21.10312738053571
107,4,3.566667,23.26491116098083
108,4,3.600000,24.294332008811836
109,4,3.633333,25.11786868707665
110,4,3.666667,25.11786868707665
111,4,3.700000,25.11786868707665
112,4,3.733333,25.11786868707665
113,4,3.766667,25.11786868707665
114,4,3.800000,25.11786868707665
139,5,4.633333,13.176586852236909
140,5,4.666667,15.544254802248247
141,5,4.700000,20.485474871837084
142,5,4.733333,22.853142821848422
143,5,4.766667,24.088447839245646
144,5,4.800000,25.014926602293542
145,5,4.833333,25.220810771859732
146,5,4.866667,25.220810771859732
147,5,4.900000,25.220810771859732
148,5,4.933333,25.220810771859732
149,5,4.966667,25.220810771859732
150,5,5.000000,25.220810771859732
174,6,5.800000,12.353050173972122
175,6,5.833333,15.441312717465138
176,6,5.866667,20.073706532704705
177,6,5.900000,22.338432397932905
178,6,5.933333,23.77962158489632
179,6,5.966667,24.809042432727352
180,6,6.000000,25.014926602293542
181,6,6.033333,25.014926602293542
182,6,6.066667,25.014926602293542
183,6,6.100000,25.014926602293542
184,6,6.133333,25.014926602293542
185,6,6.166667,25.014926602293542
209,7,6.966667,10.911860987008708
210,7,7.000000,12.76481851310453
211,7,7.033333,18.94134360009059
212,7,7.066667,22.029606143583607
213,7,7.100000,23.57373741533013
214,7,7.133333,24.603158263161134
215,7,7.166667,25.32375285664284
216,7,7.200000,25.32375285664284
217,7,7.233333,25.32375285664284
218,7,7.266667,25.32375285664284
219,7,7.300000,25.32375285664284
220,7,7.333333,25.32375285664284
245,8,8.166667,15.02954437833273
246,8,8.200000,17.500154413127177
247,8,8.233333,21.41195363488501
248,8,8.266667,23.26491116098083
249,8,8.300000,24.397274093594945
250,8,8.333333,25.11786868707665
251,8,8.366667,26.559057874040064
252,8,8.400000,26.559057874040064
253,8,8.433333,26.559057874040064
254,8,8.466667,26.559057874040064
255,8,8.500000,26.559057874040064
256,8,8.533333,26.559057874040064
280,9,9.333333,13.794239360935535
281,9,9.366667,18.323691091391964
282,9,9.400000,20.588416956620193
283,9,9.433333,22.95608490663153
284,9,9.466667,24.294332008811836
285,9,9.500000,24.294332008811836
286,9,9.533333,24.294332008811836
287,9,9.566667,24.294332008811836
288,9,9.600000,24.294332008811836
289,9,9.633333,24.294332008811836
315,10,10.500000,12.76481851310453
316,10,10.533333,15.02954437833273
317,10,10.566667,20.176648617487785
318,10,10.600000,22.647258652282204
319,10,10.633333,23.985505754462537
320,10,10.666667,24.911984517510433
321,10,10.700000,24.911984517510433
322,10,10.733333,24.911984517510433
323,10,10.766667,24.911984517510433
324,10,10.800000,24.911984517510433
325,10,10.833333,24.911984517510433
326,10,10.866667,24.911984517510433
350,11,11.666667,11.735397665273496
351,11,11.700000,14.411891869634132
352,11,11.733333,19.867822363138487
353,11,11.766667,22.338432397932905
354,11,11.800000,23.77962158489632
355,11,11.833333,24.706100347944243
356,11,11.866667,25.32375285664284
357,11,11.900000,25.32375285664284
358,11,11.933333,25.32375285664284
359,11,11.966667,25.32375285664284
360,11,12.000000,25.32375285664284
361,11,12.033333,25.32375285664284
385,12,12.833333,10.911860987008708
386,12,12.866667,12.76481851310453
387,12,12.900000,18.94134360009059
388,12,12.933333,22.029606143583607
389,12,12.966667,23.47079533054702
390,12,13.000000,24.603158263161134
391,12,13.033333,25.32375285664284
392,12,13.066667,25.32375285664284
393,12,13.100000,25.32375285664284
394,12,13.133333,25.32375285664284
395,12,13.166667,25.32375285664284
396,12,13.200000,25.32375285664284
421,13,14.033333,15.02954437833273
422,13,14.066667,17.603096497910258
423,13,14.100000,21.514895719668118
424,13,14.133333,23.26491116098083
425,13,14.166667,24.397274093594945
426,13,14.200000,25.11786868707665
427,13,14.233333,25.11786868707665
428,13,14.266667,25.11786868707665
429,13,14.300000,25.11786868707665
430,13,14.333333,25.11786868707665
431,13,14.366667,25.11786868707665
456,14,15.200000,14.206007700067943
457,14,15.233333,18.426633176175073
458,14,15.266667,21.0001852957526
459,14,15.300000,23.059026991414612
460,14,15.333333,24.294332008811836
461,14,15.366667,24.294332008811836
462,14,15.400000,24.294332008811836
463,14,15.433333,24.294332008811836
464,14,15.466667,24.294332008811836
465,14,15.500000,24.294332008811836
466,14,15.533333,24.294332008811836
491,15,16.366667,13.382471021803127
492,15,16.400000,15.853081056597546
493,15,16.433333,20.485474871837084
494,15,16.466667,22.95608490663153
495,15,16.500000,24.088447839245646
496,15,16.533333,24.911984517510433
497,15,16.566667,24.911984517510433
498,15,16.600000,24.911984517510433
499,15,16.633333,24.911984517510433
500,15,16.666667,24.911984517510433
501,15,16.700000,24.911984517510433
502,15,16.733333,24.911984517510433
526,16,17.533333,12.353050173972122
527,16,17.566667,15.647196887031356
528,16,17.600000,20.382532787054004
529,16,17.633333,22.647258652282204
530,16,17.666667,23.985505754462537
531,16,17.700000,24.809042432727352
532,16,17.733333,24.809042432727352
533,16,17.766667,24.809042432727352
534,16,17.800000,24.809042432727352
535,16,17.833333,24.809042432727352
536,16,17.866667,24.809042432727352
537,16,17.900000,24.809042432727352
561,17,18.700000,12.353050173972122
562,17,18.733333,14.308949784851023
563,17,18.766667,19.970764447921596
564,17,18.800000,22.441374482716014
565,17,18.833333,23.77962158489632
566,17,18.866667,24.809042432727352
567,17,18.900000,25.32375285664284
568,17,18.933333,25.32375285664284
569,17,18.966667,25.32375285664284
570,17,19.000000,25.32375285664284
571,17,19.033333,25.32375285664284
572,17,19.066667,25.32375285664284
596,18,19.866667,11.117745156574898
597,18,19.900000,13.176586852236909
598,18,19.933333,19.14722776965678
599,18,19.966667,22.132548228366716
600,18,20.000000,23.77962158489632
601,18,20.033333,24.603158263161134
602,18,20.066667,25.014926602293542
603,18,20.100000,25.014926602293542
604,18,20.133333,25.014926602293542
605,18,20.166667,25.014926602293542
606,18,20.200000,25.014926602293542
607,18,20.233333,25.014926602293542
631,19,21.033333,10.911860987008708
632,19,21.066667,12.76481851310453
633,19,21.100000,18.83840151530748
634,19,21.133333,22.029606143583607
635,19,21.166667,23.57373741533013
636,19,21.200000,24.500216178378025
637,19,21.233333,24.500216178378025
638,19,21.266667,24.500216178378025
639,19,21.300000,24.500216178378025
640,19,21.333333,24.500216178378025
641,19,21.366667,24.500216178378025
667,20,22.233333,15.235428547898948
668,20,22.266667,17.808980667476476
669,20,22.300000,21.6178378044512
670,20,22.333333,23.36785324576391
671,20,22.366667,24.500216178378025
672,20,22.400000,24.500216178378025
673,20,22.433333,24.500216178378025
674,20,22.466667,24.500216178378025
675,20,22.500000,24.500216178378025
676,20,22.533333,24.500216178378025
677,20,22.566667,24.500216178378025
702,21,23.400000,14.82366020876654
703,21,23.433333,18.735459430524372
704,21,23.466667,21.10312738053571
705,21,23.500000,23.26491116098083
706,21,23.533333,24.294332008811836
707,21,23.566667,25.11786868707665
708,21,23.600000,25.11786868707665
709,21,23.633333,25.11786868707665
710,21,23.666667,25.11786868707665
711,21,23.700000,25.11786868707665
712,21,23.733333,25.11786868707665
713,21,23.766667,25.11786868707665
737,22,24.566667,14.206007700067943
738,22,24.600000,16.67661773486236
739,22,24.633333,21.0001852957526
740,22,24.666667,23.059026991414612
741,22,24.700000,24.294332008811836
742,22,24.733333,25.11786868707665
743,22,24.766667,25.11786868707665
744,22,24.800000,25.11786868707665
745,22,24.833333,25.11786868707665
746,22,24.866667,25.11786868707665
747,22,24.900000,25.11786868707665
748,22,24.933333,25.11786868707665
772,23,25.733333,13.794239360935535
773,23,25.766667,18.220749006608884
774,23,25.800000,20.79430112618641
775,23,25.833333,22.95608490663153
776,23,25.866667,24.294332008811836
777,23,25.900000,25.014926602293542
778,23,25.933333,25.11786868707665
779,23,25.966667,25.11786868707665
780,23,26.000000,25.11786868707665
781,23,26.033333,25.11786868707665
782,23,26.066667,25.11786868707665
783,23,26.100000,25.11786868707665
807,24,26.900000,13.382471021803127
808,24,26.933333,15.853081056597546
809,24,26.966667,20.485474871837084
810,24,27.000000,22.95608490663153
811,24,27.033333,24.088447839245646
812,24,27.066667,24.088447839245646
813,24,27.100000,24.088447839245646
814,24,27.133333,24.088447839245646
815,24,27.166667,24.088447839245646
816,24,27.200000,24.088447839245646
842,25,28.066667,13.176586852236909
843,25,28.100000,16.470733565296143
844,25,28.133333,20.588416956620193
845,25,28.166667,22.750200737065313
846,25,28.200000,24.088447839245646
847,25,28.233333,24.911984517510433
848,25,28.266667,24.911984517510433
849,25,28.300000,24.911984517510433
850,25,28.333333,24.911984517510433
851,25,28.366667,24.911984517510433
852,25,28.400000,24.911984517510433
853,25,28.433333,24.911984517510433
877,26,29.233333,12.76481851310453
878,26,29.266667,15.02954437833273
879,26,29.300000,20.279590702270895
880,26,29.333333,22.647258652282204
881,26,29.366667,23.985505754462537
882,26,29.400000,24.809042432727352
883,26,29.433333,25.220810771859732
884,26,29.466667,25.220810771859732
885,26,29.500000,25.220810771859732
886,26,29.533333,25.220810771859732
887,26,29.566667,25.220810771859732
888,26,29.600000,25.220810771859732
912,27,30.400000,12.353050173972122
913,27,30.433333,15.441312717465138
914,27,30.466667,20.279590702270895
915,27,30.500000,22.544316567499123
916,27,30.533333,23.985505754462537
917,27,30.566667,24.809042432727352
918,27,30.600000,24.809042432727352
919,27,30.633333,24.809042432727352
920,27,30.666667,24.809042432727352
921,27,30.700000,24.809042432727352
922,27,30.733333,24.809042432727352
923,27,30.766667,24.809042432727352
947,28,31.566667,12.558934343538311
948,28,31.600000,14.61777603920035
949,28,31.633333,20.073706532704705
950,28,31.666667,22.544316567499123
951,28,31.700000,23.985505754462537
952,28,31.733333,24.809042432727352
953,28,31.766667,24.809042432727352
954,28,31.800000,24.809042432727352
955,28,31.833333,24.809042432727352
956,28,31.866667,24.809042432727352
957,28,31.900000,24.809042432727352
958,28,31.933333,24.809042432727352
982,29,32.733333,12.558934343538311
983,29,32.766667,15.441312717465138
984,29,32.800000,20.279590702270895
985,29,32.833333,22.544316567499123
986,29,32.866667,23.882563669679428
987,29,32.900000,24.809042432727352
988,29,32.933333,24.809042432727352
989,29,32.966667,24.809042432727352
990,29,33.000000,24.809042432727352
991,29,33.033333,24.809042432727352
992,29,33.066667,24.809042432727352
1017,30,33.900000,12.353050173972122
1018,30,33.933333,14.308949784851023
1019,30,33.966667,19.970764447921596
1020,30,34.000000,22.338432397932905
1021,30,34.033333,23.882563669679428
1022,30,34.066667,24.809042432727352
1023,30,34.100000,25.32375285664284
1024,30,34.133333,25.32375285664284
1025,30,34.166667,25.32375285664284
1026,30,34.200000,25.32375285664284
1027,30,34.233333,25.32375285664284
1028,30,34.266667,25.32375285664284
1052,31,35.066667,12.353050173972122
1053,31,35.100000,15.544254802248247
1054,31,35.133333,20.176648617487785
1055,31,35.166667,22.441374482716014
1056,31,35.200000,23.882563669679428
1057,31,35.233333,24.809042432727352
1058,31,35.266667,25.32375285664284
1059,31,35.300000,25.32375285664284
1060,31,35.333333,25.32375285664284
1061,31,35.366667,25.32375285664284
1062,31,35.400000,25.32375285664284
1063,31,35.433333,25.32375285664284
1087,32,36.233333,12.353050173972122
1088,32,36.266667,14.206007700067943
1089,32,36.300000,19.970764447921596
1090,32,36.333333,22.441374482716014
1091,32,36.366667,23.985505754462537
1092,32,36.400000,24.809042432727352
1093,32,36.433333,25.32375285664284
1094,32,36.466667,25.32375285664284
1095,32,36.500000,25.32375285664284
1096,32,36.533333,25.32375285664284
1097,32,36.566667,25.32375285664284
1098,32,36.600000,25.32375285664284
1122,33,37.400000,12.353050173972122
1123,33,37.433333,15.338370632682057
1124,33,37.466667,20.176648617487785
1125,33,37.500000,22.441374482716014
1126,33,37.533333,23.77962158489632
1127,33,37.566667,24.809042432727352
1128,33,37.600000,24.911984517510433
1129,33,37.633333,24.911984517510433
1130,33,37.666667,24.911984517510433
1131,33,37.700000,24.911984517510433
1132,33,37.733333,24.911984517510433
1133,33,37.766667,24.911984517510433
1157,34,38.566667,12.353050173972122
1158,34,38.600000,14.206007700067943
1159,34,38.633333,19.970764447921596
1160,34,38.666667,22.338432397932905
1161,34,38.700000,23.77962158489632
1162,34,38.733333,24.706100347944243
1163,34,38.766667,24.706100347944243
1164,34,38.800000,24.706100347944243
1165,34,38.833333,24.706100347944243
1166,34,38.866667,24.706100347944243
1167,34,38.900000,24.706100347944243
1192,35,39.733333,12.353050173972122
1193,35,39.766667,15.02954437833273
1194,35,39.800000,20.073706532704705
1195,35,39.833333,22.338432397932905
1196,35,39.866667,23.77962158489632
1197,35,39.900000,24.809042432727352
1198,35,39.933333,25.32375285664284
1199,35,39.966667,25.32375285664284
1200,35,40.000000,25.32375285664284
1201,35,40.033333,25.32375285664284
1202,35,40.066667,25.32375285664284
1203,35,40.100000,25.32375285664284
1227,36,40.900000,12.353050173972122
1228,36,40.933333,14.411891869634132
1229,36,40.966667,19.867822363138487
1230,36,41.000000,22.338432397932905
1231,36,41.033333,23.882563669679428
1232,36,41.066667,24.809042432727352
1233,36,41.100000,24.809042432727352
1234,36,41.133333,24.809042432727352
1235,36,41.166667,24.809042432727352
1236,36,41.200000,24.809042432727352
1237,36,41.233333,24.809042432727352
1238,36,41.266667,24.809042432727352
1262,37,42.066667,12.353050173972122
1263,37,42.100000,15.235428547898948
1264,37,42.133333,20.176648617487785
1265,37,42.166667,22.441374482716014
1266,37,42.200000,23.882563669679428
1267,37,42.233333,24.809042432727352
1268,37,42.266667,24.809042432727352
1269,37,42.300000,24.809042432727352
1270,37,42.333333,24.809042432727352
1271,37,42.366667,24.809042432727352
1272,37,42.400000,24.809042432727352
1297,38,43.233333,12.558934343538311
1298,38,43.266667,14.514833954417242
1299,38,43.300000,20.073706532704705
1300,38,43.333333,22.544316567499123
1301,38,43.366667,23.985505754462537
1302,38,43.400000,24.809042432727352
1303,38,43.433333,24.809042432727352
1304,38,43.466667,24.809042432727352
1305,38,43.500000,24.809042432727352
1306,38,43.533333,24.809042432727352
1307,38,43.566667,24.809042432727352
1308,38,43.600000,24.809042432727352
1332,39,44.400000,12.353050173972122
1333,39,44.433333,15.544254802248247
1334,39,44.466667,20.279590702270895
1335,39,44.500000,22.544316567499123
1336,39,44.533333,23.985505754462537
1337,39,44.566667,24.809042432727352
1338,39,44.600000,24.809042432727352
1339,39,44.633333,24.809042432727352
1340,39,44.666667,24.809042432727352
1341,39,44.700000,24.809042432727352
1342,39,44.733333,24.809042432727352
1367,40,45.566667,12.353050173972122
1368,40,45.600000,14.82366020876654
1369,40,45.633333,20.176648617487785
1370,40,45.666667,22.647258652282204
1371,40,45.700000,23.985505754462537
1372,40,45.733333,24.809042432727352
1373,40,45.766667,24.809042432727352
1374,40,45.800000,24.809042432727352
1375,40,45.833333,24.809042432727352
1376,40,45.866667,24.809042432727352
1377,40,45.900000,24.809042432727352
1402,41,46.733333,12.97070268267072
1403,41,46.766667,17.500154413127177
1404,41,46.800000,19.970764447921596
1405,41,46.833333,22.544316567499123
1406,41,46.866667,23.985505754462537
1407,41,46.900000,23.985505754462537
1408,41,46.933333,24.191389924028726
1409,41,46.966667,24.191389924028726
1410,41,47.000000,24.191389924028726
1411,41,47.033333,24.191389924028726
1412,41,47.066667,24.191389924028726
1413,41,47.100000,24.191389924028726
1437,42,47.900000,13.176586852236909
1438,42,47.933333,15.544254802248247
1439,42,47.966667,20.485474871837084
1440,42,48.000000,22.853142821848422
1441,42,48.033333,24.088447839245646
1442,42,48.066667,25.014926602293542
1443,42,48.100000,25.52963702620906
1444,42,48.133333,25.52963702620906
1445,42,48.166667,25.52963702620906
1446,42,48.200000,25.52963702620906
1447,42,48.233333,25.52963702620906
