Flame_ID,A,k,t0,C
1,4.838277986715578,308.31411963731546,0.002050792789572101,20.69135903949348
2,9.218886994956268,262.5331039855469,0.06798556712146091,16.31075003125279
3,9.508456187832419,243.18424408930497,0.13820312427558948,16.02118083837664
4,11.000753369244379,243.7963331860365,0.2082547907095679,14.52888365696468
5,10.959517115429684,219.10209436562988,0.278438620916626,14.673061995562456
6,9.165491895192577,270.7330269332013,0.35047685826302766,16.364145131016482
7,9.445954215596092,253.80876436348925,0.4205004482326581,15.980740725829857
8,9.366404081182196,230.87954163865192,0.4907628599773143,16.163232945026863
9,10.891590257791556,233.34323455320236,0.5607286916392457,14.638046768417503
10,10.867430704665278,216.9027966603506,0.6308762524974207,14.662206321543781
11,9.67855317358527,264.2313398068128,0.7027163809786808,15.85108385262379
12,9.516033093608602,246.29594531007427,0.7729366406959416,16.013603932600457
13,11.074184140032168,259.46811391269046,0.8429175342756485,14.352510801393782
14,10.980922879617356,240.34193389525532,0.9131102064529085,14.548714146591703
15,10.603034733050844,224.898024916094,0.9833812997928725,14.926602293158215
16,8.838317371901155,266.96755366541413,1.0551355170638455,16.691319654307904
17,9.058903461550528,276.400739036994,1.1254242032158943,16.36779147987542
18,9.032374159199598,255.6778411482909,1.1954219064634846,16.39432078222635
19,9.43536851944206,250.11079859025975,1.2655309415330962,15.99132642198389
20,9.325916393272813,236.63256216427757,1.3357167247815178,16.100778548153137
21,11.019122071607562,248.7916199298777,1.4056714144056561,14.510514954601497
22,10.96611957483588,242.5370755751946,1.475785961795622,14.56351745137318
23,10.90999815210204,233.5657587734406,1.5459034676901082,14.61963887410702
24,10.776829632529866,232.5786875613203,1.6160164164644828,14.649865308896084
25,11.015666679492213,219.45686564997584,1.6861051297555627,14.616912431499927
26,11.106987125694067,205.49575766138537,1.7562455698829516,14.731476154864298
27,9.26478763149741,273.4015474191335,1.8282286204805276,16.36779147949473
28,8.719038371872362,267.5909326993562,1.898190010986192,16.70765656955359
29,9.278034186193562,266.7035038172591,1.9682326153318424,16.251602840015497
30,8.706548684406268,253.03337163315211,2.038404584638205,16.82308834180279
31,9.05890346139942,278.5700555117588,2.1086060443083,16.36779148002653
32,9.062629545798558,279.5025049457133,2.17869823298152,16.364065395627392
33,8.620769957675169,259.7785660425347,2.2486782343307645,16.80592498375078
34,9.058903461190372,275.014831626294,2.3188710526714256,16.367791480235578
35,9.084743172714969,277.23516910875213,2.3889432600445617,16.34195176871098
36,9.1618455471989,270.014883601236,2.459034327071628,16.367791479010158
37,8.853019292883399,276.3629046227354,2.529123069242782,16.57367564854255
38,8.647135345942015,274.45605814881344,2.5991984045830963,16.779559595483935
39,9.05890346303864,287.8101318117802,2.669245136314817,16.36779147838731
40,8.955961377060248,281.9675620259718,2.739333521379885,16.57367564914881
41,10.616986089033054,222.37800169391937,2.807575843587237,14.912650937176005
42,10.603034733107684,224.89712169027314,2.877654416069721,14.926602293101375
43,10.871442579768578,232.10870266941023,2.9476097076661745,14.658194446440481
44,10.889489215739774,241.12972646467577,3.017631855900328,14.537205725686176
45,10.980728014891618,241.67892328052028,3.0877174382473442,14.548909011317441
46,11.020669942570265,245.1496650277998,3.1577746571215566,14.508967083638794
47,9.283857884745398,234.36742075788752,3.2280502360126264,16.142837056680552
48,9.309705471412585,236.1201099449267,3.2980789994890745,16.116989470013365
49,9.370953203441353,244.30593644959518,3.368100728213324,16.055741737984597
50,9.412368118204938,248.40033075878713,3.4381461061484115,16.014326823221012
51,9.442896884591633,251.20450887487243,3.508183150245673,15.983798056834317
52,9.510043979463006,262.8891239707392,3.578227306163926,15.916650961962944
53,9.596119152146915,265.0345646881438,3.6482544864833875,15.830575789279035
54,8.681188412399031,263.11022656164675,3.718385022359796,16.74550652902692
55,9.058903462217273,283.60771317996534,3.788612507336065,16.367791479208677
56,10.977188157896263,213.38948723793416,3.8567359492881197,14.655390953095877
57,10.691231441563197,232.43078352747057,3.926790895564666,14.632521415079644
58,10.754619273466618,242.91451682109442,3.99682893958217,14.569133583176223
59,10.926238990268565,245.31727158111886,4.0668741676553495,14.500455951157385
60,11.022002916555815,255.4038972197889,4.136904436210941,14.404692024870135
61,9.319544757570114,235.28453250659413,4.207162965379534,16.107150183855836
62,9.37394032960092,245.51264024079714,4.277161100392892,16.05275461182503
63,9.531299079040702,261.2791510841487,4.34713777609051,15.895395862385248
64,9.369969347537275,267.67176706262603,4.41718862971534,16.056725593888675
65,8.856460511874346,264.53762445945864,4.487429208837822,16.776118599117794
66,10.833983194704336,227.58088665860672,4.555520385653672,14.592711746721614
67,10.84190135936081,239.4583997615902,4.625584786376554,14.58479358206514
68,10.852210161825038,254.74100684507627,4.695600038320955,14.471542694817803
69,9.332306106896713,238.78188061079848,4.765805849401893,16.094388834529237
70,9.459497126286259,251.7689982148195,4.835787361073971,15.967197815139691
71,8.537632099169091,258.61490887486474,4.9058695571961985,16.78612075747375
72,9.058903461547786,286.8890178499403,4.976011274479114,16.367791479878164
