Frame_ID,Flame_ID,Timestamp_s,Position_MM
48,1,1.600000,15.441312717465138
49,1,1.633333,19.867822363138487
50,1,1.666667,22.029606143583607
51,1,1.700000,25.220810771859732
52,1,1.733333,27.176710382738662
53,1,1.766667,28.720841654485184
54,1,1.800000,29.75026250231619
55,1,1.833333,30.470857095797896
56,1,1.866667,31.191451689279603
57,1,1.900000,31.70616211319512
58,1,1.933333,31.70616211319512
59,1,1.966667,31.70616211319512
60,1,2.000000,31.70616211319512
61,1,2.033333,31.70616211319512
62,1,2.066667,31.70616211319512
63,1,2.100000,31.70616211319512
64,1,2.133333,31.70616211319512
65,1,2.166667,31.70616211319512
113,2,3.766667,13.588355191369317
114,2,3.800000,15.544254802248247
115,2,3.833333,20.79430112618641
116,2,3.866667,24.500216178378025
117,2,3.900000,26.764942043606254
118,2,3.933333,28.309073315352776
119,2,3.966667,29.64732041753308
120,2,4.000000,30.470857095797896
121,2,4.033333,31.088509604496494
122,2,4.066667,31.60322002841201
123,2,4.100000,31.60322002841201
124,2,4.133333,31.60322002841201
125,2,4.166667,31.60322002841201
126,2,4.200000,31.60322002841201
127,2,4.233333,31.60322002841201
